instrument_name,creation_timestamp,mark_iv
BTC-16JUN25-111000-P,1749938299495,37.88
BTC-25JUL25-86000-P,1749938299495,47.95
BTC-25JUL25-60000-C,1749938299495,71.95
BTC-20JUN25-101000-C,1749938299495,43.77
BTC-26SEP25-55000-P,1749938299495,63.78
BTC-15JUN25-118000-P,1749938299495,61.33
BTC-25JUL25-120000-C,1749938299495,40.92
BTC-4JUL25-112000-P,1749938299495,37.84
BTC-27MAR26-65000-C,1749938299495,52.25
BTC-20JUN25-96000-P,1749938299495,52.01
BTC-4JUL25-111000-C,1749938299496,37.76
BTC-20JUN25-125000-C,1749938299496,57.41
BTC-27JUN25-220000-C,1749938299496,108.45
BTC-27JUN25-200000-P,1749938299496,96.54
BTC-26SEP25-85000-C,1749938299496,47.25
BTC-26DEC25-115000-C,1749938299496,46.53
BTC-15JUN25-104000-P,1749938299496,33.51
BTC-29AUG25-118000-P,1749938299496,42.83
BTC-16JUN25-112000-C,1749938299496,42.96
BTC-17JUN25-107000-P,1749938299496,32.77
BTC-15JUN25-105000-P,1749938299496,25.44
BTC-27JUN25-115000-P,1749938299496,38.27
BTC-16JUN25-105000-C,1749938299496,32.92
BTC-25JUL25-95000-C,1749938299496,43.41
BTC-26DEC25-20000-C,1749938299496,91.96
BTC-29AUG25-180000-C,1749938299496,53.35
BTC-26SEP25-260000-C,1749938299496,61.79
BTC-27MAR26-70000-P,1749938299496,51.03
BTC-26DEC25-160000-P,1749938299496,49.07
BTC-16JUN25-100000-C,1749938299496,52.58
BTC-20JUN25-107000-P,1749938299496,36.85
BTC-29AUG25-145000-C,1749938299496,45.62
BTC-27JUN25-45000-P,1749938299496,140.5
BTC-29AUG25-140000-C,1749938299496,44.86
BTC-27MAR26-80000-P,1749938299496,49.24
BTC-4JUL25-114000-C,1749938299496,38.02
BTC-26SEP25-170000-P,1749938299496,49.94
BTC-26DEC25-300000-P,1749938299496,57.58
BTC-4JUL25-140000-P,1749938299496,51.94
BTC-20JUN25-100000-C,1749938299496,45.68
BTC-4JUL25-105000-C,1749938299496,38.25
BTC-15JUN25-112000-P,1749938299496,43.81
BTC-26DEC25-260000-P,1749938299496,55.53
BTC-26DEC25-40000-P,1749938299496,68.31
BTC-4JUL25-116000-C,1749938299496,38.46
